Station,Year,Month,Day,Daily Rainfall Total (mm),Daily Rainfall Total,Highest 30 Min Rainfall,Highest 120 Min Rainfall,Mean Temperature,Maximum Temperature,Minimum Temperature,Mean Wind Speed (km/h),Max Wind Speed (km/h)
Jurong (West),1982,2,17,0,,,,,,,,
Jurong (West),1982,2,18,0,,,,,,,,
Jurong (West),1982,2,19,46.5,,,,,,,,
Jurong (West),1982,2,20,0.5,,,,,,,,
Jurong (West),1982,2,21,18.4,,,,,,,,
Jurong (West),1982,2,22,2.3,,,,,,,,
Jurong (West),1982,2,23,0,,,,,,,,
Jurong (West),1982,2,24,0,,,,,,,,
Jurong (West),1982,2,25,0,,,,,,,,
Jurong (West),1982,2,26,0,,,,,,,,
Jurong (West),1982,2,27,0,,,,,,,,
Jurong (West),1982,2,28,0.2,,,,,,,,
Jurong (West),1982,3,1,30.7,,,,,,,,
Jurong (West),1982,3,2,0,,,,,,,,
Jurong (West),1982,3,3,0,,,,,,,,
Jurong (West),1982,3,4,0.2,,,,,,,,
Jurong (West),1982,3,5,30.8,,,,,,,,
Jurong (West),1982,3,6,0.5,,,,,,,,
Jurong (West),1982,3,7,2.5,,,,,,,,
Jurong (West),1982,3,8,24.5,,,,,,,,
Jurong (West),1982,3,9,0,,,,,,,,
Jurong (West),1982,3,10,5.8,,,,,,,,
Jurong (West),1982,3,11,12.7,,,,,,,,
Jurong (West),1982,3,12,0,,,,,,,,
Jurong (West),1982,3,13,0,,,,,,,,
Jurong (West),1982,3,14,0.3,,,,,,,,
Jurong (West),1982,3,15,0,,,,,,,,
Jurong (West),1982,3,16,0,,,,,,,,
Jurong (West),1982,3,17,21.2,,,,,,,,
Jurong (West),1982,3,18,27.8,,,,,,,,
Jurong (West),1982,3,19,0,,,,,,,,
Jurong (West),1982,3,20,47.7,,,,,,,,
Jurong (West),1982,3,21,0,,,,,,,,
Jurong (West),1982,3,22,6.4,,,,,,,,
Jurong (West),1982,3,23,0.1,,,,,,,,
Jurong (West),1982,3,24,0,,,,,,,,
Jurong (West),1982,3,25,2.2,,,,,,,,
Jurong (West),1982,3,26,0,,,,,,,,
Jurong (West),1982,3,27,5.7,,,,,,,,
Jurong (West),1982,3,28,7.8,,,,,,,,
Jurong (West),1982,3,29,2.5,,,,,,,,
Jurong (West),1982,3,30,1.4,,,,,,,,
Jurong (West),1982,3,31,0,,,,,,,,
Jurong (West),1982,4,1,0,,,,,,,,
Jurong (West),1982,4,2,0.1,,,,,,,,
Jurong (West),1982,4,3,43.3,,,,,,,,
Jurong (West),1982,4,4,9.1,,,,,,,,
Jurong (West),1982,4,5,56.4,,,,,,,,
Jurong (West),1982,4,6,19.4,,,,,,,,
Jurong (West),1982,4,7,21,,,,,,,,
Jurong (West),1982,4,8,54.7,,,,,,,,
Jurong (West),1982,4,9,0,,,,,,,,
Jurong (West),1982,4,10,1.6,,,,,,,,
Jurong (West),1982,4,11,121.3,,,,,,,,
Jurong (West),1982,4,12,13.1,,,,,,,,
Jurong (West),1982,4,13,0.7,,,,,,,,
